Item Index,RestaurantName,Item,Description,Price,Custom Meal Type,Menu Catgeory,Kcal,Protein,Carbs,Fat,Calculated Cal,Difference,%
68,Go! Healthy - Macro Counted,Grilled Veggies (Green and Yellow Zucchini Red Pepper) 200g,[Kcal: 45 P: 2 C: 9 F: 0.5],AED14,Snack,Sides and Extras,45,2,9,0.5,48.5,3.5,7.78%
69,Go! Healthy - Macro Counted,Mini Greek Salad 220g,[Kcal: 230 P: 6 C: 10 F: 19] Feta cheese tomato cucumber green bell pepper red onion Kalamata olives oregano olive oil.,AED14,Snack,Sides and Extras,230,6,10,19,235,5,2.17%
70,Go! Healthy - Macro Counted,Mini Quinoa Kale Salad 200g,[Kcal: 240 P: 10 C: 34 F: 8] Kale Cherry Tomatoes Olives Feta Quinoa Chickpeas Cucumber with a light Apple Cider Oil dressing.,AED17,Snack,Sides and Extras,240,10,34,8,248,8,3.33%
71,Go! Healthy - Macro Counted,Mini Beetroot Salad 140g,[Kcal: 90 P: 3 C: 14 F: 3] Beetroot Greek yogurt spring onions.,AED12,Snack,Sides and Extras,90,3,14,3,95,5,5.56%
72,Go! Healthy - Macro Counted,Sweet Potato Purée 200g,[Kcal: 60 P: 1 C: 11 F: 2],AED14,Snack,Sides and Extras,60,1,11,2,66,6,10.00%
73,Go! Healthy - Macro Counted,Broccoli 200g,[Kcal: 70 P: 5 C: 14 F: 1],AED14,Snack,Sides and Extras,70,5,14,1,85,15,21.43%
74,Go! Healthy - Macro Counted,Black Beans 200g,[Kcal: 260 P: 18 C: 47 F: 1],AED12,Snack,Sides and Extras,260,18,47,1,269,9,3.46%
75,Go! Healthy - Macro Counted,Greek Spinach Rice 200g,[Kcal: 310 P: 7 C: 63 F: 3],AED15,Snack,Sides and Extras,310,7,63,3,307,-3,0.97%
76,Go! Healthy - Macro Counted,Spanish Red Rice 200g,[Kcal: 430 P: 9 C: 89 F: 4],AED13,Snack,Sides and Extras,430,9,89,4,428,-2,0.47%
77,Go! Healthy - Macro Counted,Plain Basmati Brown Rice 200g,[Kcal: 220 P: 5 C: 47 F: 1.5],AED18,Snack,Sides and Extras,220,5,47,1.5,221.5,1.5,0.68%
78,Go! Healthy - Macro Counted,Plain Basmati White Rice 200g,[Kcal: 250 P: 6 C: 52 F: 0.5],AED9,Snack,Sides and Extras,250,6,52,0.5,236.5,-13.5,5.40%
79,Go! Healthy - Macro Counted,Baked Sweet Potato Cubes 200g,[Kcal: 171 P: 3.2 C: 40.6 F: 0.2],AED14,Snack,Sides and Extras,171,3.2,40.6,0.2,177,6,3.51%
80,Go! Healthy - Macro Counted,Steamed Edamame 150g,[Kcal: 110 P: 10 C: 8.2 F: 5.3],AED17,Snack,Healthy Snacks Under 110 Cal,110,10,8.2,5.3,120.5,10.5,9.55%
81,Go! Healthy - Macro Counted,Veggies and Tzatziki Dip 180g,[Kcal: 110 P: 4 C: 12 F: 6] steamed broccoli cauliflower raw carrots cucumber cherry tomatoes.,AED20,Snack,Healthy Snacks Under 110 Cal,110,4,12,6,118,8,7.27%
82,Go! Healthy - Macro Counted,Half Avocado Sprinkled with S & P,[Kcal: 110 P: 1 C: 6 F: 10],AED12,Snack,Healthy Snacks Under 110 Cal,110,1,6,10,118,8,7.27%
83,Go! Healthy - Macro Counted,Boiled Egg (Qty = 1),[Kcal: 80 P: 6 C: 0 F: 5],AED5,Snack,Healthy Snacks Under 110 Cal,80,6,0,5,69,-11,13.75%
84,Go! Healthy - Macro Counted,Sweet Potato Puree 200g,[Kcal: 60 P: 1 C: 11 F: 2],AED14,Snack,Healthy Snacks Under 110 Cal,60,1,11,2,66,6,10.00%
85,Go! Healthy - Macro Counted,Tzatziki 70g,[Kcal: 70 P: 2 C: 3 F: 6],AED7,Snack,Go! Saucy with Our Homemade Dips,70,2,3,6,74,4,5.71%
86,Go! Healthy - Macro Counted,Siracha Yogurt 70g,[Kcal: 40 P: 2 C: 3 F: 2],AED7,Snack,Go! Saucy with Our Homemade Dips,40,2,3,2,38,-2,5.00%
87,Go! Healthy - Macro Counted,Teriyaki 70g,[Kcal: 80 P: 2 C: 19 F: 0],AED7,Snack,Go! Saucy with Our Homemade Dips,80,2,19,0,84,4,5.00%
88,Go! Healthy - Macro Counted,Apple Cider Olive Oil Dressing 70g,[Kcal: 15 C: 0 P: 0: F: 0],AED5,Snack,Go! Saucy with Our Homemade Dips,15,0,0:00,0,0,-15,100.00%
89,Go! Healthy - Macro Counted,Tahini Sauce 70g,[Kcal: 280 P: 7 C: 18 F: 22],AED5,Snack,Go! Saucy with Our Homemade Dips,280,7,18,22,298,18,6.43%
90,Go! Healthy - Macro Counted,Guacamole 70g,[Kcal: 100 P: 2 C: 6 F: 9],AED7,Snack,Go! Saucy with Our Homemade Dips,100,2,6,9,113,13,13.00%
91,Go! Healthy - Macro Counted,Pico de Gallo 70g,[Kcal: 15 P: 1 C: 3 F:0 ],AED5,Snack,Go! Saucy with Our Homemade Dips,15,1,3,,16,1,6.67%
92,Go! Healthy - Macro Counted,Kimchi 70g,[Kcal: 20 P: 1 C: 5 F: 0],AED7,Snack,Go! Saucy with Our Homemade Dips,20,1,5,0,24,4,20.00%
93,Go! Healthy - Macro Counted,Tomato Sauce 70g,[Kcal: 15 P: 1 C: 3 F: 0],AED5,Snack,Go! Saucy with Our Homemade Dips,15,1,3,0,16,1,6.67%
94,Go! Healthy - Macro Counted,Low Fat Truffle Mayo Dip 70g,[Kcal: 90 P: 4 C: 5 F: 7],AED5,Snack,Go! Saucy with Our Homemade Dips,90,4,5,7,99,9,10.00%
95,Go! Healthy - Macro Counted,Hot Sauce 40g,[Kcal: 41 P: 0 C: 9 F: 0],AED3,Snack,Go! Saucy with Our Homemade Dips,41,0,9,0,36,-5,12.20%
96,Go! Healthy - Macro Counted,Dijon Mustard 60g,[Kcal: 70 P: 4 C: 6 F: 5],AED5,Snack,Go! Saucy with Our Homemade Dips,70,4,6,5,85,15,21.43%
97,Go! Healthy - Macro Counted,Dynamite Sauce 40g,[Kcal: 70 P: 0 C: 6 F: 6],AED3,Snack,Go! Saucy with Our Homemade Dips,70,0,6,6,78,8,11.43%
98,Go! Healthy - Macro Counted,Tomato Jam 50g,[Kcal: 106 P: 1 C: 20 F: 3],AED3,Snack,Go! Saucy with Our Homemade Dips,106,1,20,3,111,5,4.72%
99,Go! Healthy - Macro Counted,Peanut Butter Toast and Caramelized Bananas,[Kcal: 400 P: 15 C: 60 F: 13] Sour dough toast topped with crunchy peanut butter and caramelized bananas!,AED23,Snack,Guiltless Desserts,400,15,60,13,417,17,4.25%
100,Go! Healthy - Macro Counted,Peanut Butter Crunch Yoghurt Cup,[Kcal: 390 P: 18 C: 53 F: 14] A peanut butter naturally flavored crunchy yoghurt topped with granola clusters and your choice of strawberries or bananas.,AED29,Snack,Guiltless Desserts,390,18,53,14,410,20,5.13%
101,Go! Healthy - Macro Counted,Watermelon Feta Salad,[Kcal: 340 P: 12 C: 19 F: 26] Seedless watermelon Feta cheese wild rocket honey glazed walnuts balsamic dressing.,AED37,Snack,Guiltless Desserts,340,12,19,26,358,18,5.29%
102,Go! Healthy - Macro Counted,Greek Honey Yoghurt Cup,[Kcal: 220 P: 11 C: 43 F: 1.5] Topped with granola clusters with your choice of strawberry or bananas.,AED29,Snack,Guiltless Desserts,220,11,43,1.5,229.5,9.5,4.32%
103,Go! Healthy - Macro Counted,The Lazy Mix (Box of 12),Too lazy to choose? We'll do it for you! A selection of all the lazy cakes combined! 2 funfetti sprinkles 2 smores 1 pistachio perfect 1 chocolate dipped strawberries 2 salted caramel peanut 2 chocolate orange zest 2 original.,AED87,Snack,*NEW* Lotsa! Lazy Cake - So Simple. So Fudgin Good,220,11,43,1.5,229.5,9.5,4.32%
104,Go! Healthy - Macro Counted,Vegan Brownie - by SugarMoo,No eggs no dairy no butter. You won't believe how tasty it is!,AED16,Snack,Desserts by SugarMoo,220,11,43,1.5,229.5,9.5,4.32%
105,Go! Healthy - Macro Counted,Red Velvet Oreo Crunch - by SugarMoo,Red velvet cake with a cream cheese & oreo frosting center covered in chocolate fudge cream cheese frosting & oreo cookie crumbles.,AED27,Snack,Desserts by SugarMoo,220,11,43,1.5,229.5,9.5,4.32%
0,The Fit Food Kitchen-Business Bay,Fit Food Omelette,Mix of red capsicum fresh mushroom and onion served on a high protein bread with mixed salad on the side. Cal-345; P-36.5G; C-13; F-15.5G.,"AED 27.01 
 AED 38.59",Breakfast,Breakfast,345,36.5,13,15.5,337.5,-7.5,2.17%
1,The Fit Food Kitchen-Business Bay,Oats Breakfast,Plain home-made oatmeal. Banana peanut butter mango peanut butter or mixed berries and walnuts. Plain omelette stuffed with low fat halloumi cheese served on a high protein bread with mixed salad on the side. Cal-365; P-11G; C-42G; F-17G.,"AED 24.70 
 AED 35.28",Breakfast,Breakfast,365,11,42,17,365,0,0.00%
2,The Fit Food Kitchen-Business Bay,Healthy Fit Breakfast,Scrambled fresh eggs mixed with fresh herbs. Served with a side of grilled portobello mushrooms tomatoes and spinach. Cal-140; P-18.5G; C-5.5G; F-5G.,"AED 27.78 
 AED 39.69",Breakfast,Breakfast,140,18.5,5.5,5,141,1,0.71%
3,The Fit Food Kitchen-Business Bay,Healthy Green Omelette,Omelet with green apple and broccoli inside served high protein bread avocado and mixed salad. Cal-310; P-35.5G; C-8.5G; F-15G.,"AED 24.70 
 AED 35.28",Breakfast,Breakfast,310,35.5,8.5,15,311,1,0.32%
4,The Fit Food Kitchen-Business Bay,Organic Quinoa Salad,Organic quinoa sweet potato broccoli pomegranate mix of herbs and red capsicum. Cal-290; P-8G; C-58G F-3G.,"AED 26.46 
 AED 37.80",Lunch/Dinner,Salads,290,8,58,3,291,1,0.34%
5,The Fit Food Kitchen-Business Bay,The Grilled Halloumi Salad,Grilled light halloumi cheese wild rocket leaves baby spinach avocado slices pomegranate and green olives. Cal-320; P-21G; C-15G; F-20G.,"AED 27.20 
 AED 38.85",Lunch/Dinner,Salads,320,21,15,20,324,4,1.25%
6,The Fit Food Kitchen-Business Bay,Organic Lentil Salad,A mix of wild rocket leaves and baby spinach broccoli cherry tomatoes with shaved carrots topped with organic lentil. Cal-112; P-5.5G; C-22.5G; F-0G.,"AED 22.78 
 AED 32.55",Lunch/Dinner,Salads,112,5.5,22.5,0,112,0,0.00%
7,The Fit Food Kitchen-Business Bay,Power Chickpea Salad,Cherry tomato shaved carrots cucumber spanish onion and a mix of herbs. Cal-120; P-7G; C-24G; F-0G.,"AED 23.52 
 AED 33.60",Lunch/Dinner,Salads,120,7,24,0,124,4,3.33%
8,The Fit Food Kitchen-Business Bay,Organic Couscous Salad,Organic couscous dry apricot roasted red capsicum plum tomatoes pumpkin seeds fresh radish avocado cubes pomegranate mixed herbs. Cal-127; P-3G; C-23G; F-2.5G.,"AED 22.78 
 AED 32.55",Lunch/Dinner,Salads,127,3,23,2.5,126.5,-0.5,0.39%
9,The Fit Food Kitchen-Business Bay,High Protein Niscoise Salad,Tuna in water cherry tomato sweet potato boiled eggs iceberg lettuce French baby green beans kalamata olives shallot sweetcorn. Cal-240; P-36.5G; C-8.5G; F-7G.,"AED 28.66 
 AED 40.95",Lunch/Dinner,Salads,240,36.5,8.5,7,243,3,1.25%
10,The Fit Food Kitchen-Business Bay,Lean Beef Burger,Lean beef patty on a bed of iceberg lettuce topped with home-made light mayo sauce fresh tomato slices spanish onion and dijon mustard. Cal-440; P-44G; C-37G; F-36G.,"AED 30.87 
 AED 44.10",Lunch/Dinner,Burgers,440,44,37,36,648,208,47.27%
11,The Fit Food Kitchen-Business Bay,Fish Fillet Burger,Cal-380; P-33G; C-40G; F-9.8G.,"AED 31.64 
 AED 45.20",Lunch/Dinner,Burgers,380,33,40,9.8,380.2,0.2,0.05%
12,The Fit Food Kitchen-Business Bay,Light Chicken Burger,Marinated grilled chicken breast on a bed of iceberg lettuce fresh tomato slices spanish onion homemade guacamole sauce seeded mustard. Cal-400; P-31G; C-39G; F-19G.,"AED 28.55 
 AED 40.79",Lunch/Dinner,Burgers,400,31,39,19,451,51,12.75%
13,The Fit Food Kitchen-Business Bay,Mexican Burger,Chicken breast on a bed of iceberg lettuce topped with home-made guacamole fresh tomatoes spanish onions jalapenos and mushrooms on top wrap in high protein bread. Cal-380; P-33G; C-38.5G; F-10.8G.,"AED 30.09 
 AED 42.99",Lunch/Dinner,Burgers,380,33,38.5,10.8,383.2,3.2,0.84%
14,The Fit Food Kitchen-Business Bay,Vegan Burger,Vegetarian patty topped with fresh lettuce fresh slices of tomatoes beetroot home-made light mayo english mustard on high protein bun. Cal-318; P-17G; C-40G; F-10G.,"AED 24.70 
 AED 35.28",Lunch/Dinner,Burgers,318,17,40,10,318,0,0.00%
15,The Fit Food Kitchen-Business Bay,Falafel Wrap,Home made falafel with fresh iceberg lettuce mint radish tomatoes and tahina wrapped in whole grain tortilla bread. Cal-250; P-23G; C-18.7G; F-9.5G.,"AED 22.78 
 AED 32.55",Lunch/Dinner,Wraps,250,23,18.7,9.5,252.3,2.3,0.92%
16,The Fit Food Kitchen-Business Bay,Super Egg Wrap,Boiled eggs iceberg lettuce fresh tomato slices cucumbers Spanish onion low fat bega cheese with a spread of homemade light mayo all wrapped in whole grain tortilla bread. Cal-345; P-36G; C-12G; F-17G.,"AED 22.78 
 AED 32.55",Lunch/Dinner,Wraps,345,36,12,17,345,0,0.00%
17,The Fit Food Kitchen-Business Bay,Spicy Seafood Pasta,Homemade tomato sauce organic wild rice pasta shrimp salmon squid garlic fresh basil and green chili. Cal-420; P-27.5G; C-63G; F-6.7G.,"AED 43.36 
 AED 61.95",Lunch/Dinner,Pasta,420,27.5,63,6.7,422.3,2.3,0.55%
18,The Fit Food Kitchen-Business Bay,Arrabiata Pasta,The traditional Italian spicy arrabiata made with organic rice pasta. Cal-327; P-8G; C-66G; F-3.5G.,"AED 25.72 
 AED 36.75",Lunch/Dinner,Pasta,327,8,66,3.5,327.5,0.5,0.15%
19,The Fit Food Kitchen-Business Bay,Pomodoro Pasta,Organic wilc rice pasta homemade tomato sauce chopped tomato garlic fresh basil and extra virgin olive oil. Cal-327; P-8G; C-66G; F-3.5G.,"AED 25.72 
 AED 36.75",Lunch/Dinner,Pasta,327,8,66,3.5,327.5,0.5,0.15%
20,The Fit Food Kitchen-Business Bay,Pesto Pasta,Organic wild pasta with homemade pesto sauce portobello mushrooms broccoli and sprinkled with pine nuts. Cal-380; P-9G; C-66G; F-9G.,"AED 27.93 
 AED 39.90",Lunch/Dinner,Pasta,380,9,66,9,381,1,0.26%
21,The Fit Food Kitchen-Business Bay,Marinated Grilled Chicken,Grilled chicken breast served with broccoli cauliflower carrots and boiled sweet potato on the side. Cal-440; P-50G; C-40G; F-9G.,"AED 34.54 
 AED 49.35",Lunch/Dinner,Main Course,440,50,40,9,441,1,0.23%
22,The Fit Food Kitchen-Business Bay,Grilled Salmon Fillet,Cal-440; P-47G; C-40G; F-13.8G.,"AED 52.92 
 AED 75.60",Lunch/Dinner,Main Course,440,47,40,13.8,472.2,32.2,7.32%
23,The Fit Food Kitchen-Business Bay,Marinated Grilled Fish Fillet,Grilled fish fillet served with organic brown rice and mixed cabbage salad on the side. Cal-460; P-53G; C-43.5G; F-8.5G.,"AED 37.48 
 AED 53.55",Lunch/Dinner,Main Course,460,53,43.5,8.5,462.5,2.5,0.54%
24,The Fit Food Kitchen-Business Bay,Fit Food Grilled Chicken and Veggie,A mixture of spanish onion celery red and green capsicum fresh mushroom marinated chicken strips served with organic brown rice on the side. Cal-387; P-32.7G; C-48.5G F-7G.,"AED 33.81 
 AED 48.30",Lunch/Dinner,Main Course,387,32.7,48.5,7,387.8,0.8,0.21%
25,The Fit Food Kitchen-Business Bay,Fit Food Grilled Beef and Veggie,A mixture of spanish onion celery red and green capsicum fresh mushroom marinated tenderloin strips served with organic brown rice on the side. Cal-386; P-31.7G; C-48.5G; F-7G.,"AED 40.42 
 AED 57.75",Lunch/Dinner,Main Course,386,31.7,48.5,7,383.8,-2.2,0.57%
26,The Fit Food Kitchen-Business Bay,Stuffed Chicken,Grilled chicken breast stuffed with a combination of low-fat ricotta cheese and spinach served with a side of sweet potato mash and broccoli. Cal-440; P-52.5G; C-40G; F-8G.,"AED 37.48 
 AED 53.55",Lunch/Dinner,Main Course,440,52.5,40,8,442,2,0.45%
27,The Fit Food Kitchen-Business Bay,Spicy Fish Fillet,Grilled nile perch fillet served with organic brown rice cauliflower carrots broccoli green chili garlic coconut oil and tomato sauce. Cal-480; P-54G; C-46.8G; F-9G.,"AED 40.42 
 AED 57.75",Lunch/Dinner,Main Course,480,54,46.8,9,484.2,4.2,0.88%
28,The Fit Food Kitchen-Business Bay,Carrot Cake,Carrot cake packed with protein powder organic coconut flour almond milk and mixture seeds and nuts. Cal-155.5 P-6.8G C-8G F-10.5G.,"AED 11.02 
 AED 15.75",Snack,Sweets,155.5,6.8,8,10.5,153.7,-1.8,1.16%
29,The Fit Food Kitchen-Business Bay,Banana Peanut Butter Wrap,Fresh banana and crunchy low-fat peanut butter wrapped in high protein bread. Cal-409; P-32G; C-40G; F-13.5G.,"AED 14.70 
 AED 21",Snack,Sweets,409,32,40,13.5,409.5,0.5,0.12%
30,The Fit Food Kitchen-Business Bay,Protein Cake,Strawberry chocolate or vanilla. A delicious cake packed with protein powder topped with chia seeds pumpkin and flax seeds. Cal-190; P-17G; C-13G; F-7.7G.,"AED 14.70 
 AED 21",Snack,Sweets,190,17,13,7.7,189.3,-0.7,0.37%
31,The Fit Food Kitchen-Business Bay,Refresh,Cucumber ginger and green apple.,"AED 16.17 
 AED 23.10",Beverage,Fresh Juices (330ml),190,17,13,7.7,189.3,-0.7,0.37%
32,The Fit Food Kitchen-Business Bay,Orange Juice,Fresh squeezed orange juice.,"AED 16.18 
 AED 23.12",Beverage,Fresh Juices (330ml),190,17,13,7.7,189.3,-0.7,0.37%
0,RAWKURE - Feed your Cells - Business Bay,Green Goddess,(350 ml) Cucumber celery cabbage spinach granny smith apples. Nutritional Info: 91 Kcal (Proteins 2g Carbs 21g Fats 0g). Vegetarian.,AED22,Beverage,Drinks,91,2,21,0,92,1,1.10%
1,RAWKURE - Feed your Cells - Business Bay,Almond Keto Donuts,Almond butter sugar free syrup apple cider vinegar almond milk almond flour psyllium husk. Nutritional Info: 93 Kcal (Proteins 3.5g Carbs 4.2 Fats 7 Fiber 2g). Vegetarian.,Currently sold out,Snack,Yum Bites,93,3.5,4.2,7,93.8,0.8,0.86%
2,RAWKURE - Feed your Cells - Business Bay,Miss Ketoniality,Almond flour cacao powder almond milk organic erythritol organic vanilla extract coconut oil. Nutritional Info: 130 Kcal (Proteins 7g Carbs 5.8 Fats 9 Fiber 3.5g). Vegetarian.,Currently sold out,Snack,Yum Bites,130,7,5.8,9,132.2,2.2,1.69%
3,RAWKURE - Feed your Cells - Business Bay,Keto Kutie,(3 Pieces) Coconut sugar free cacao peanut butter coconut butter. Nutritional Info: 125 Kcal (Proteins 3.5g Carbs 3g Fats 10g Fiber 1.5g) . Vegetarian.,AED23,Snack,Yum Bites,125,3.5,3,10,116,-9,7.20%
4,RAWKURE - Feed your Cells - Business Bay,Keto Kookies,(2 Pieces) Almond flour coconut flour coconut oil sugar free chocolate chips erythritol chia seeds almond butter. Nutritional Info: 105 Kcal (Proteins 2.2g Carbs 3.2g Fats 9.2g Fiber 2.2g). Vegetarian.,AED24,Snack,Yum Bites,105,2.2,3.2,9.2,104.4,-0.6,0.57%
5,RAWKURE - Feed your Cells - Business Bay,Pekan and Karrots,Apples coconut milk almond flour cinnamon almond milk flaxseeds coconut sugar carrots oats organic vanilla extract. Nutritional Info: 158 Kcal (Proteins 3g Carbs 11.2 Fats 12g Fiber 2g). Vegetarian.,Currently sold out,Snack,Yum Bites,158,3,11.2,12,164.8,6.8,4.30%
6,RAWKURE - Feed your Cells - Business Bay,Marbelous Bar,100% unrefined cacao gluten free biscuits coconut milk peanut butter cacao buttons goji berries. Nutritional Info: 220 Kcal (Proteins 4.5g Carbs 17 Fats 14.3g Fiber 2g). Vegetarian.,Currently sold out,Snack,Yum Bites,220,4.5,17,14.3,214.7,-5.3,2.41%
7,RAWKURE - Feed your Cells - Business Bay,Delightful Bar,Medjool dates peanut butter maca powder turmeric Himalayan salt oat flour peanuts. Nutritional Info: 135 Kcal (Proteins 3g Carbs 23.4g Fats 4.2 Fiber 3g). Vegetarian.,AED17,Snack,Yum Bites,135,3,23.4,4.2,143.4,8.4,6.22%
8,RAWKURE - Feed your Cells - Business Bay,Ketolicious Kake,Almond flour coconut flour organic stevia cacao psyllium husk coconut oil coconut cream coconut milk. Nutritional Info: 198 kcal (Proteins 5.7g Carbs 8.8 Fats 14.3g Fiber 6.8g). Vegetarian.,AED28,Snack,Yum Bites,198,5.7,8.8,14.3,186.7,-11.3,5.71%
9,RAWKURE - Feed your Cells - Business Bay,Love Bites,(3 pieces) Organic cacao powder sugar free vegan chocolate Himalayan salt chia seeds almonds butter. Nutritional Info: 153 Kcal (Proteins 3.6g Carbs 5.4g Fats 15.3g Fiber 3.3g). Vegetarian.,AED22,Snack,Yum Bites,153,3.6,5.4,15.3,173.7,20.7,13.53%
10,RAWKURE - Feed your Cells - Business Bay,Nutty and Nice Ice Cream,Organic cacao cashews dates organic vanilla protein probiotics. Nutritional Info: 211Kcal (Proteins 4.3g Carbs 20.2g Fats 11.7g Fiber 2.7g). Vegetarian.,AED22,Snack,Yum Bites,211Kcal,20.2,11.7,2.7,151.9,#VALUE!,#VALUE!
11,RAWKURE - Feed your Cells - Business Bay,Sinless Cacao Donut (Marbled Chocolate),Tapioca flour rice flour cacao powder date sugar almond milk apples coconut oil pea/chia seed protein. Nutritional Info: 91 Kcal (Proteins 2.7g Carbs 10g Fats 6.2g Fiber 1.5g). Vegetarian.,AED21,Snack,Yum Bites,91,2.7,10,6.2,106.6,15.6,17.14%
12,RAWKURE - Feed your Cells - Business Bay,Cake My Day,Rice flour maca powder tapioca flour cocoa powder date sugar almond milk psyllium husk homemade vegan chocolate chips. Nutritional Info: 145 Kcal (Proteins 3.1g Carbs 27g Fats 2.2g Fiber 3g). Vegetarian.,AED17,Snack,Yum Bites,145,3.1,27,2.2,140.2,-4.8,3.31%
13,RAWKURE - Feed your Cells - Business Bay,Super Kake Donut,Almond flour coconut flour organic stevia apple cider vinegar coconut oil coconut milk. Nutritional Info: 151 Kcal (Proteins 3.6g Carbs 5.2g Fats 17.5g Fiber 17.1g). Vegetarian.,AED25,Snack,Yum Bites,151,3.6,5.2,17.5,192.7,41.7,27.62%
14,RAWKURE - Feed your Cells - Business Bay,Wake and Bake Muffin,Tapioca flour rice flour banana coconut milk coconut sugar cacao powder chocolate chips carrots. Nutritional Info: 163 Kcal (Proteins 2g Carbs 33g Fats 2.6g Fiber 2g). Vegetarian.,AED15,Snack,Yum Bites,163,2,33,2.6,163.4,0.4,0.25%
15,RAWKURE - Feed your Cells - Business Bay,Crumby Crispies Donut,Gluten free rice puffs organic protein & probiotic powder cacao powder 100% dark cacao. Nutritional Info: 93 Kcal (Proteins 2.7g Carbs 12g Fats 3.7g Fiber 2g). Vegetarian.,AED18,Snack,Yum Bites,93,2.7,12,3.7,92.1,-0.9,0.97%
16,RAWKURE - Feed your Cells - Business Bay,Nutritious Spaghettio,Gluten free spaghetti red lentils mushrooms onions carrots oregano basil thyme tomatoes garlic. Nutritional Info: 293 Kcal (Protein 9g Carbs 38.2g Fat 14g Fiber 9g). Vegetarian.,AED39,Lunch/Dinner,Mains,293,9,38.2,14,314.8,21.8,7.44%
17,RAWKURE - Feed your Cells - Business Bay,Mushroom and Cauliflower Keto Risotto,Butternut squash mushrooms celery rosemary cauliflower rice almond milk garlic onions. Nutritional Info: 250 Kcal (Protein 18.2g Carbs 8g Fat 7g Fiber 6g). Vegetarian.,AED50,Lunch/Dinner,Mains,250,18.2,8,7,167.8,-82.2,32.88%
18,RAWKURE - Feed your Cells - Business Bay,Superfood Tacos,Quinoa cumin chili powder garlic powder coconut oil tri-color peppers nutritional yeast gluten free tacos. Nutritional Info: 290 Kcal (Protein 9.6g Carbs 32.9g Fat 7g Fiber 6g). Vegetarian.,AED49,Lunch/Dinner,Mains,290,9.6,32.9,7,233,-57,19.66%
19,RAWKURE - Feed your Cells - Business Bay,Peanuts La Pasta,Mushrooms spaghetti gluten free peanuts garlic sugar free syrup coconut milk cilantro chilli pepper lime onions cilantro sesame. Nutritional Info: 580 Kcal (Protein 25.6g Carbs 26.2 Fat 44 Fiber 8.5g). Vegetarian.,AED59,Lunch/Dinner,Mains,580,25.6,26.2,44,603.2,23.2,4.00%
20,RAWKURE - Feed your Cells - Business Bay,Saucy Quinoa Balls with GF Pasta,Quinoa black beans oregano tomatoes basil shallot garlic fennel seeds gf pasta. Nutritional Info: 400 Kcal (Protein 20.2g Carbs 68g Fat 5.8g Fiber 13g). Vegetarian.,AED54,Lunch/Dinner,Mains,400,20.2,68,5.8,405,5,1.25%
21,RAWKURE - Feed your Cells - Business Bay,Anti-inflamma Curry (Keto Friendly),Onions garlic coriander turmeric coconut oil red peppers mushrooms Thai basil cauliflower lemongrass ginger coconut milk aubergine. Nutritional Info: 438 Kcal (Protein 9.1g Carbs 11.2g Fat 28.7g Fiber 10.8g). Vegetarian.,AED64,Lunch/Dinner,Mains,438,9.1,11.2,28.7,339.5,-98.5,22.49%
22,RAWKURE - Feed your Cells - Business Bay,Protein Salad,Lima beans parsley kale coconut oil sea salt garlic. Nutritional Info: 309 Kcal (Protein 9g Carbs 16g Fat 19g Fiber 8.1g). Vegetarian.,AED47,Lunch/Dinner,Salads,309,9,16,19,271,-38,12.30%
