Item Index,RestaurantName,Item,Description,Price,Custom Meal Type,Menu Catgeory,Kcal,Protein,Carbs,Fat,Calculated Cal,Difference,%
23,RAWKURE - Feed your Cells - Business Bay,Liver Detox Salad,Beetroot cumin seeds apple cider vinegar spinach oranges walnuts mustard seeds. Nutritional Info: 206 Kcal (Protein 7.8g Carbs 22g Fat 11.4g Fiber 8.5g). Vegetarian.,AED45,Lunch/Dinner,Salads,206,7.8,22,11.4,221.8,15.8,7.67%
24,RAWKURE - Feed your Cells - Business Bay,Immunity Booster Salad,Chickpeas cumin paprika turmeric cinnamon onions coriander garlic kale olive oil sesame seeds beetroot cardamom oregano. Nutritional Info: 330 Kcal (Protein 14g Carbs 35g Fat 16g Fiber 10g). Vegetarian.,AED44,Lunch/Dinner,Salads,330,14,35,16,340,10,3.03%
25,RAWKURE - Feed your Cells - Business Bay,Apple-Nut Salad,Apples pecans onion cranberries lemon olive oil arugula. Nutritional Info: 180 Kcal (Protein 2g Carbs 20g Fat 10.1g Fiber 5g). Vegetarian.,AED47,Lunch/Dinner,Salads,180,2,20,10.1,178.9,-1.1,0.61%
26,RAWKURE - Feed your Cells - Business Bay,Double P's Salad,Potato peas apple cider vinegar parsley onions mustard olive oil dill. Nutritional Info: 302 Kcal (Protein 7.3g Carbs 38g Fat 8.7g Fiber 8g). Vegetarian.,AED37,Lunch/Dinner,Salads,302,7.3,38,8.7,259.5,-42.5,14.07%
27,RAWKURE - Feed your Cells - Business Bay,Super Nutri Salad,Quinoa edamame kale organic sweetcorn spring onions avocado pomegranate sesame seeds chia protein. Nutritional Info: 310 Kcal (Protein 15g Carbs 40g Fat 12.7g Fiber 7.1g). Vegetarian.,AED59,Lunch/Dinner,Salads,310,15,40,12.7,334.3,24.3,7.84%
28,RAWKURE - Feed your Cells - Business Bay,Keto Brussel Kicks,Brussel sprouts broccoli apple cider vinegar coconut cream mustard seeds parsley arrow root powder. Vegetarian. Nutritional Info: 135 Kcal (Protein 7.4g Carbs 16.8g Fat 4.5g Fiber 7.8g).,AED36,Snack,NIbbles And Starters,135,7.4,16.8,4.5,137.3,2.3,1.70%
29,RAWKURE - Feed your Cells - Business Bay,Cauli Keto Spice Salad,Cauliflower sesame seeds sugar free chili sauce cilantro garlic coconut oil lettuce. Vegetarian. Nutritional Info: 131 Kcal (Protein 5g Carbs 7g Fat 9.7g Fiber 5g).,AED35,Snack,NIbbles And Starters,131,5,7,9.7,135.3,4.3,3.28%
0,Bowlful,Build Your Own Avo-Toast,Choose Your Toast,AED0,Breakfast,All Day Brekkie,,,,,0,0,#DIV/0!
1,Bowlful,Green Shakshuka,Three poached organic eggs cooked with zucchini baby spinach basil parsley chili flakes and dill.,AED45,Breakfast,All Day Brekkie,,,,,0,0,#DIV/0!
2,Bowlful,Gluten-Free Banana Bread (GF),Freshly baked banana bread made with organic coconut sugar and walnuts served with blueberry compote and cashew cream,AED38,Breakfast,All Day Brekkie,,,,,0,0,#DIV/0!
3,Bowlful,Granola Bowl (GF),Homemade gluten-free granola with strawberries blueberries grated coconut maple syrup served with 0% fat Greek Yogurt.,AED35,Breakfast,All Day Brekkie,,,,,0,0,#DIV/0!
4,Bowlful,Love Toast (GF),Gluten-free toast with homemade almond nut butter strawberries banana topped with maple syrup and grated coconut.,AED30,Breakfast,All Day Brekkie,,,,,0,0,#DIV/0!
5,Bowlful,All in one Parfait (GF),Banana Bread coconut chia pudding homemade strawberry chia jam almond butter Granola Walnuts,Currently sold out,Breakfast,All Day Brekkie,,,,,0,0,#DIV/0!
6,Bowlful,Build Your Own Warm Bowl,All protein are measured in raw weight size will shrink after cooking based on fat and water content.,AED40,Lunch/Dinner,Warm Bowls,,,,,0,0,#DIV/0!
7,Bowlful,The Kushi (GF),Asian inspired bowl with brown basmati and wild rice bok choy shitake mushrooms shredded kale bean sprouts and 100g seared Norwegian salmon. Dressing: Pineapple Teriyaki (414 Kcal Protein 30g Carbs 45g Fat 16g),AED60,Lunch/Dinner,Warm Bowls,414,30,45,16,444,30,7.25%
8,Bowlful,The Frida (GF),Mexican inspired bowl with brown basmati and wild rice sautéed corn grilled capsicum guacamole and 80g tenderloin beef. Dressing: Tomato Salsa (536 Kcal Protein 27g Carbs 49g Fat 27g),AED57,Lunch/Dinner,Warm Bowls,536,27,49,27,547,11,2.05%
9,Bowlful,The Marley (GF),Caribbean inspired bowl with brown basmati and wild rice red kidney beans shredded kale grilled pineapple avocado watercress and 110g grilled chicken. Dressing: Spicy Jerk (478 Kcal Protein 38g Carbs 55g Fat 12g),AED50,Lunch/Dinner,Warm Bowls,478,38,55,12,480,2,0.42%
10,Bowlful,The Fairuz (V),Arabian inspired bowl with quinoa mix (pomegranate clementine spring onion and red radish) roasted carrots grilled zucchini with chili flakes spinach basil hummus and baked falafel. Dressing: Cucumber Tahini (512 Kcal Protein 20g Carbs 73g Fat 15g),AED50,Lunch/Dinner,Warm Bowls,,,,,0,0,#DIV/0!
11,Bowlful,The Buddha (VE) (GF),Cauliflower rice cajun chickpeas baked butternut squash shredded kale avocado and pomegranate. Dressing: Lemon Olive Oil (451 Kcal Protein 13g Carbs 53g Fat 26g),AED45,Lunch/Dinner,Warm Bowls,451,13,53,26,498,47,10.42%
12,Bowlful,Build Your Own Salad,All protein are measured in raw weight size will shrink after cooking based on fat and water content.,AED40,Lunch/Dinner,Garden Bowls,,,,,0,0,#DIV/0!
13,Bowlful,Clean Green (VE) (GF),Baby gem lettuce romaine lettuce baby spinach shredded kale celery broccoli cucumber green apple avocado edamame beans parsley and crunchy pumpkin seed. Dressing: Zesty green. (295 Kcal Protein 8g Carbs 22g Fat 22g),AED40,Lunch/Dinner,Garden Bowls,295,8,22,22,318,23,7.80%
14,Bowlful,Vegan Kale Caesar (VE),Creamy cashew dressed Kale baby gem avocado sourdough croutons and almond parm,AED40,Lunch/Dinner,Garden Bowls,,,,,0,0,#DIV/0!
15,Bowlful,Popeye (V) (GF),Baby spinach organic arugula quinoa grilled butternut squash feta cheese with goji berries. Dressing: Lemon and olive oil. (370 Kcal Protein 12g Carbs 43g Fat 23g),AED40,Lunch/Dinner,Garden Bowls,370,12,43,23,427,57,15.41%
16,Bowlful,Kale Confetti (VE) (GF),Blanched kale quinoa edamame beans and pomegranate with molasse drizzled. Dressing: Lemon and Olive Oil (407 Kcal Protein 8g Carbs 57g Fat 24g),AED42,Lunch/Dinner,Garden Bowls,407,8,57,24,476,69,16.95%
17,Bowlful,Blue Apple (V) (GF),Baby gem lettuce romaine lettuce green apple cherry tomatoes avocado blue cheese crushed roasted walnut and chia seeds. Dressing: Lemon and olive oil. (416 Kcal Protein 6g Carbs 20g Fat 33g),AED40,Lunch/Dinner,Garden Bowls,416,6,20,33,401,-15,3.61%
18,Bowlful,Zoodle Alfredo Pasta (GF) (VE),Zucchini noodles portobello mushroom parsley with vegan cashew alfredo dressing (361 Kcal Protein 12g Carbs 27g Fat 26g),AED40,Lunch/Dinner,Garden Bowls,361,12,27,26,390,29,8.03%
19,Bowlful,Rainbow Pad Thai,Rice noodle bok choy bean sprouts shredded carrots purple cabbage coriander fresh papaya roasted peanuts with asian peanut dressing. Cooking time is 5-7 minute. Go on our Instagram @bowlful and watch how to cook your bowl!,AED40,Lunch/Dinner,Cook it Yourself!,,,,,0,0,#DIV/0!
20,Bowlful,Farmers Bowl,Baby carrots butternut squash brussels sprouts cajun chickpeas organic egg pumpkin seeds with cucumber tahini. Cooking time is only 12-15 min. Go on our Instagram @bowlful and watch how to cook your bowl!,AED50,Lunch/Dinner,Cook it Yourself!,,,,,0,0,#DIV/0!
21,Bowlful,Gluten Free Chocolate Brownie (GF),Made with Dark chocolate walnuts almonds and coconut sugar,AED20,Snack,Dessert,,,,,0,0,#DIV/0!
22,Bowlful,Raw Vegan Brownie (GF) (VE),Freshly made raw brownie made with nuts chia seeds dates and sea salt flakes,AED20,Snack,Dessert,,,,,0,0,#DIV/0!
23,Bowlful,One Slice Gluten-Free Banana Bread (GF),Freshly baked banana bread made with organic coconut sugar and walnuts served with cashew cream,AED15,Snack,Dessert,,,,,0,0,#DIV/0!
24,Bowlful,Organic Beef Bone Broth 12oz,Slowly simmered grass-fed beef bones with 100% organic vegetables. This clear broth is brewed for 24 hours to ensure the utmost nourishment. (Vegetables are not included in the serving),AED39,Lunch/Dinner,Bone Broth,,,,,0,0,#DIV/0!
25,Bowlful,Organic Chicken Bone Broth 12oz,Slowly simmered free-range chicken bones with 100% organic vegetables. The clear broth is brewed for 7-8 hours to ensure the utmost nourishment. (Vegetables are not included in the serving),AED39,Lunch/Dinner,Bone Broth,,,,,0,0,#DIV/0!
0,The Keto Fix - Business Bay,Chicken Tenders,Crispy fried chicken tenders coated with our homemade keto breadcrumbs served with a side of ranch sauce or spicy ranch. Calories 282 Fats 6g Net Carbs 2.2g Protein 52g.,AED29,Snack,Starters,282,52,2.2,6,270.8,-11.2,3.97%
1,The Keto Fix - Business Bay,President’s Cheese Bites,Cheese triangles coated with our homemade keto breadcrumbs served with a side of keto blueberry jam. Calories 178 Fats 20g Net Carbs 6g Protein 10g.,AED29,Snack,Starters,178,10,6,20,244,66,37.08%
2,The Keto Fix - Business Bay,Chips and Guac,Crispy baked parmesan cheese coins and creamy guacamole. Calories 164 Fats 14.5g Net Carbs 1.5g Protein 5g.,AED29,Snack,Starters,164,5,1.5,14.5,156.5,-7.5,4.57%
3,The Keto Fix - Business Bay,Fried Chicken Burger,Keto breaded chicken breast fried to perfection in pure ghee topped with creamy cabbage slaw sliced dill pickles and mayonnaise in our homemade keto burger bun. Calories 397 Fats 17g Net Carbs 5.4g Protein 21g.,AED32,Lunch/Dinner,Burgers,397,21,5.4,17,258.6,-138.4,34.86%
4,The Keto Fix - Business Bay,Original Burger,Australian Angus beef patty green coral lettuce dill pickles white onion and our signature sauce in our homemade keto burger bun. Total Calories 465 Fats 29g Net Carbs 6.2g Protein 32g.,AED44,Lunch/Dinner,Burgers,465,32,6.2,29,413.8,-51.2,11.01%
5,The Keto Fix - Business Bay,Cheeseburger,Australian Angus beef patty green coral lettuce sliced cheddar cheese sliced tomato and our signature sauce in our homemade keto burger bun. Calories 585 Fats 33g Net Carbs 5g Protein 36g.,AED45,Lunch/Dinner,Burgers,585,36,5,33,461,-124,21.20%
6,The Keto Fix - Business Bay,Double Cheeseburger,Two Australian Angus beef patties green coral lettuce sliced cheddar cheese sliced tomato and our signature sauce in our homemade keto burger bun. Calories 885 Fats 52g Net Carbs 5.5g Protein 59g.,AED65,Lunch/Dinner,Burgers,885,59,5.5,52,726,-159,17.97%
7,The Keto Fix - Business Bay,Mushroom and Swiss Burger,Australian Angus beef patty creamy sautéed mushroom sauce and Provolone cheese in our homemade keto burger bun. Calories 550 Fats 31g Net Carbs 4.4g Protein 34.2g.,AED49,Lunch/Dinner,Burgers,550,34.2,4.4,31,433.4,-116.6,21.20%
8,The Keto Fix - Business Bay,California Style Burger,Australian Angus beef patty sliced cheddar cheese creamy avocado sauce fried egg in grass-fed butter and sliced tomato in our homemade keto burger bun. Calories 573 Fats 41g Net Carbs 3.7g Protein 44g.,AED49,Lunch/Dinner,Burgers,573,44,3.7,41,559.8,-13.2,2.30%
9,The Keto Fix - Business Bay,Bacon and Egg Burger,Australian Angus beef patty sliced cheddar cheese chopped onions fried egg in grass-fed butter grilled beef bacon and our signature sauce in our homemade keto burger bun. Calories 625 Fats 40g Net Carbs 4.5g Protein 43.5g.,AED64,Lunch/Dinner,Burgers,625,43.5,4.5,40,552,-73,11.68%
10,The Keto Fix - Business Bay,Margarita,San Marzano pomodoro sauce mozzarella cheese fresh basil and dry oregano on our homemade keto pizza dough. Calories 449 Fats 36.8g Net Carbs 7.6g Protein 29.9.,AED54,Lunch/Dinner,Pizza,449,29.9,7.6,36.8,481.2,32.2,7.17%
11,The Keto Fix - Business Bay,Quattro Formaggi,San Marzano pomodoro sauce mozzarella cheese provolone cheese parmesan cheese and blue cheese on our homemade keto pizza dough. Calories 486 Fats 41g Net Carbs 8.7g Protein 32g.,AED67,Lunch/Dinner,Pizza,486,32,8.7,41,531.8,45.8,9.42%
12,The Keto Fix - Business Bay,Pepperoni,San Marzano pomodoro sauce mozzarella cheese and pepperoni on our homemade keto pizza dough. Calories 555 Fats 48g Net Carbs 7.8g Protein 30.3g.,AED65,Lunch/Dinner,Pizza,555,30.3,7.8,48,584.4,29.4,5.30%
13,The Keto Fix - Business Bay,Capricciosa,San Marzano pomodoro sauce mozzarella cheese turkey ham black olives and mushrooms on our homemade keto pizza dough. Calories 478 Fats 39g Net Carbs 8.4g Protein 34g.,AED65,Lunch/Dinner,Pizza,478,34,8.4,39,520.6,42.6,8.91%
14,The Keto Fix - Business Bay,Vegetarian,San Marzano pomodoro sauce mozzarella cheese green yellow & red capsicum sliced onion mushrooms and black olives on our homemade keto pizza dough. Calories 462 Fats 37.2g Net Carbs 10.6g Protein 31.1g.,AED58,Lunch/Dinner,Pizza,462,31.1,10.6,37.2,501.6,39.6,8.57%
15,The Keto Fix - Business Bay,Carnivore Lovers,San Marzano pomodoro sauce mozzarella cheese pepperoni mince beef turkey ham and sliced onion on our homemade keto pizza dough. Calories 609 Fats 52g Net Carbs 8.8g Protein 42g.,AED67,Lunch/Dinner,Pizza,609,42,8.8,52,671.2,62.2,10.21%
16,The Keto Fix - Business Bay,White Chicken,Cream sauce mozzarella cheese fresh basil mushrooms and chicken breast on our homemade keto pizza dough. Calories 494 Fats 40.2g Net Carbs 6.4g Protein 40g.,AED63,Lunch/Dinner,Pizza,494,40,6.4,40.2,547.4,53.4,10.81%
17,The Keto Fix - Business Bay,Mega Cookie (Chocolate Chunk by Keto by Foxxy),Almond flour erythritol eggs grass-fed butter pure vanilla extract gluten free baking powder xanthan gum salt sugar free dark chocolate chunks. Calories 336 Fats 30g Net Carbs 4g Protein 8g.,AED25,Snack,Treats and Desserts,336,8,4,30,318,-18,5.36%
18,The Keto Fix - Business Bay,Mega Cookie (Double Chocolate by Keto by Foxxy),Almond flour erythritol raw cacao powder eggs grass-fed butter pure vanilla extract gluten free baking powder xanthan gum salt sugar free dark chocolate chunks. Calories 356 Fats 22g Net Carbs 6g Protein 12g.,AED30,Snack,Treats and Desserts,356,12,6,22,270,-86,24.16%
19,The Keto Fix - Business Bay,Almost Fries,Crispy cajun spiced zucchini strips fried in pure ghee. Calories 170 Fats 15g Net Carbs 2.5g Protein 17g.,AED18,Snack,Sides,170,17,2.5,15,213,43,25.29%
20,The Keto Fix - Business Bay,Coleslaw,Creamy slaw made with fresh white cabbage a little bit of carrots mayo and a pinch of xylitol. Calories 110 Fats 7g Net Carbs 4g Protein 1g.,AED15,Snack,Sides,110,1,4,7,83,-27,24.55%
21,The Keto Fix - Business Bay,House Salad,Lettuce tomato cucumber bell pepper rocca onion lemon olive oil and salt. Calories 85 Fats 2.2g Net Carbs 4.7g Protein 2.1g.,AED16,Snack,Sides,85,2.1,4.7,2.2,47,-38,44.71%
22,The Keto Fix - Business Bay,Caesar Salad,Iceberg lettuce parmesan cheese and Caesar dressing. Calories 125 Fats 10g Net Carbs 4g Protein 2g.,AED17,Snack,Sides,125,2,4,10,114,-11,8.80%
23,The Keto Fix - Business Bay,Greek Salad,Lettuce tomato cucumber onion kalamata olives feta cheese oregano and lemon mustard. Calories 98 Fats 4.4g Net Carbs 4.3g Protein 4.7g.,AED19,Snack,Sides,98,4.7,4.3,4.4,75.6,-22.4,22.86%
24,The Keto Fix - Business Bay,Sodas,Diet Pepsi or diet 7up.,AED7,Beverage,Drinks,98,4.7,4.3,4.4,75.6,-22.4,22.86%
0,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Low-Carb Chicken Biryani with Yoghurt Dip,Save 30 grams of carbs by choosing this delicious biryani instead of regular biryani. The fibre and ghee keep your gut healthy and the taste keeps your soul happy. Calories 390 Carbs 30 Protein 28 Fats 17.,AED49,Lunch/Dinner,Mains (Non-Vegetarian),390,28,30,17,385,-5,1.28%
1,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Minced Mutton with Low-Carb Cumin Rice and Masala Mushroom Spinach,This low carb and high protein combination gives you stable sugar levels and is loaded with iron for more energy. Calories 532 Carbs 23 Protein 30 Fats 35.,AED49,Lunch/Dinner,Mains (Non-Vegetarian),532,30,23,35,527,-5,0.94%
2,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Mutton Curry with Low-Carb Peas Rice and Masala Mushroom Spinach,Our highest protein bowl keeps you full for 4 hrs or more. Loaded with iron and vitamin k. Calories 497 Carbs 25 Protein 42 Fats 30.,AED49,Lunch/Dinner,Mains (Non-Vegetarian),497,42,25,30,538,41,8.25%
3,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Fenugreek Fish Fillet with Low-Carb Fenugreek Rice,Super high in fibre protein iron and taste too. Feels like home. Calories 409 Carbs 12 Protein 30 Fats 29.,Currently sold out,Lunch/Dinner,Mains (Non-Vegetarian),409,30,12,29,429,20,4.89%
4,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Curried Lentils with Low-Carb Cumin Rice and Masala Mushroom Spinach,Daal soaked in acv for your gut pickles on the side as your probiotic and home-style vegetable with all its fibre. Calories 444 Carbs 46 Protein 17 Fats 20.,AED39,Lunch/Dinner,Mains (Vegetarian),444,17,46,20,432,-12,2.70%
5,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Coconut Vegetable Curry with Low-Carb Jasmine Rice and Sesame-Soy Salad,High in good fats low in carbs. This combination is perfect for “vegetarian clean keto lovers”. Calories 338 Carbs 21 Protein 4 Fats 26.,AED39,Lunch/Dinner,Mains (Vegetarian),338,4,21,26,334,-4,1.18%
6,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Low-Carb Rice Cakes (Idli) with Paleo Tomato Curry and Sesame Coconut Chutney,Idlis will never be this fluffy and this low in carbs. The coconut veggie curry combined with sesame chutney gives you a whole lot of calcium. South Indian comfort food at its healthiest. Calories 428 Carbs 33 Protein 9 Fats 28.,AED39,Lunch/Dinner,Mains (Vegetarian),428,9,33,28,420,-8,1.87%
7,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Low-Carb Cilantro Chickpeas Rice with Lemony Guacamole and Tangy Salsa,Our lowest calorie bowl loaded with healthy fats keeps you feeling energized and happy. Calories 199 Carbs 18 Protein 4 Fats 16.,AED39,Lunch/Dinner,Mains (Vegetarian),199,4,18,16,232,33,16.58%
8,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Tangy Salsa,Our refreshing tomato onion and lemon salsa will appeal to most. Great source of vitamin c and vitamin k. Calories 35 Carbs 1 Protein 0 Fats 3.,AED6,Snack,Sides,35,0,1,3,31,-4,11.43%
9,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Lemony Guacamole,Fresh avocado garlic lots of fresh lime lemon and seasoning. Great source of vitamins c e k and healthy fats. Calories 71 Carbs 0 Protein 1 Fats 7.,AED15,Snack,Sides,71,1,0,7,67,-4,5.63%
10,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Sesame-Soy Salad,Our Asian lettuce salad is tangy made with sesame seeds almonds in a vinegar and soy dressing. A good source of healthy fats protein and vitamin b. Calories 80 Carbs 5 Protein 1 Fats 6.,AED15,Snack,Sides,80,1,5,6,78,-2,2.50%
11,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Masala Okra,This is a popular South-Asian homestyle dish made with okra onion tomatoes and spices! Okra is nutritious rich in magnesium folate fibre and antioxidants. Calories 233 Carbs 14 Protein 2 Fats 17.,AED20,Snack,Sides,233,2,14,17,217,-16,6.87%
12,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Masala Mushroom and Spinach,A delicious side made with spinach and mushrooms in a tomato onion base. An excellent source of vitamin k vitamin a vitamin c. Calories 105 Carbs 5 Protein 4 Fats 7.,AED20,Snack,Sides,105,4,5,7,99,-6,5.71%
13,Bebo's Bowls – Healthy Asian Comfort Food - Business Bay,Soft Drinks,Diet Pepsi or diet 7up.,AED7,Beverage,Drinks,105,4,5,7,99,-6,5.71%
0,Lean Mean Cuisine - Design District,Lean Chicken Tsukuni,Steamed Japanese chicken meatballs served with vinaigrette sauce. (Kcal: 296 C: 8 P: 29 F: 27),AED39,Snack,Starters and Salads,296,29,8,27,391,95,32.09%
1,Lean Mean Cuisine - Design District,Prawn and Squid Salad,Steamed fresh prawns and baby squid with mesclun mixed green carrots cucumbers red radish with sesame vinaigrette dressing. (Kcal: 285 C: 8 P: 26 F: 10),AED47,Lunch/Dinner,Starters and Salads,285,26,8,10,226,-59,20.70%
2,Lean Mean Cuisine - Design District,Green Salad with Passion Fruit,Mesclun mixed green avocado carrots asparagus with passion fruit vinaigrette dressing. (Kcal: 150 C: 12 P: 4 F: 4),AED39,Lunch/Dinner,Starters and Salads,150,4,12,4,100,-50,33.33%
3,Lean Mean Cuisine - Design District,Quinoa Veggie Roll,Sushi Rice rolled with crispy red quinoa with avocado arugula leaves & cucumber with miso honey sauce. (Kcal: 197 C: 34 P: 6 F: 3),AED45,Snack,Starters and Salads,197,6,34,3,187,-10,5.08%
4,Lean Mean Cuisine - Design District,Butternut Squash Roll,Sushi rice roll with basil leaves cucumber & sautéed butternut squash with truffle butternut squash puree. (Kcal: 220 C: 22 P: 7 F: 5),AED45,Snack,Starters and Salads,220,7,22,5,161,-59,26.82%
5,Lean Mean Cuisine - Design District,Build your Own Wagyu Bowl (Sautéed Wagyu Cubes),Sauce base and additional options available.,AED75,Lunch/Dinner,Mains,,,,,0,0,#DIV/0!
6,Lean Mean Cuisine - Design District,Build your Own Salmon Bowl (Grilled Salmon),Sauce base and additional options available.,AED60,Lunch/Dinner,Mains,,,,,0,0,#DIV/0!
7,Lean Mean Cuisine - Design District,Build your Own Chicken Bowl (Grilled Chicken),Sauce base and additional options available.,AED60,Lunch/Dinner,Mains,,,,,0,0,#DIV/0!
8,Lean Mean Cuisine - Design District,Eggless Noodles with Seafood,Pan seared fresh tuna salmon & shrimps on a bed of eggless soba noodles mixed with plant-based lemon butter sauce. (Kcal: 595 C: 41 P: 42 F: 31),AED59,Lunch/Dinner,Mains,595,42,41,31,611,16,2.69%
9,Lean Mean Cuisine - Design District,Lean Wagyu and Veggies,Sautéed Wagyu beef cubes with sautéed broccoli potatoes carrots & asparagus mixed with smoked BBQ sauce. (Kcal: 351 C: 23 P: 26 F: 18),AED75,Lunch/Dinner,Mains,351,26,23,18,358,7,1.99%
10,Lean Mean Cuisine - Design District,Chicken and Mushroom Rice,Grilled chicken breast on a bed of steamed rice with vegan mushroom sauce. (Kcal: 591 C: 42 P: 58 F: 14),AED59,Lunch/Dinner,Mains,591,58,42,14,526,-65,11.00%
11,Lean Mean Cuisine - Design District,Salmon and Quinoa,Grilled fresh Salmon on a bed of mixed red & white quinoa with truffle butter lemon sauce (Kcal: 568 C: 36 P: 43 F: 28),AED59,Lunch/Dinner,Mains,568,43,36,28,568,0,0.00%
12,Lean Mean Cuisine - Design District,Beef Donburi,Crumbled beef with sautéed broccoli ginger & caramelized onion on a bed of rice with tangy oyster sauce. (Kcal: 598 C: 58 P: 58 F: 21),AED59,Lunch/Dinner,Mains,598,58,58,21,653,55,9.20%
13,Lean Mean Cuisine - Design District,Lean Teriyaki Chicken,Grilled chicken breast on a bed of eggless soba noodles with teriyaki sauce. (Kcal: 530 C: 46 P: 55 F: 12),AED59,Lunch/Dinner,Mains,530,55,46,12,512,-18,3.40%
14,Lean Mean Cuisine - Design District,Black Cod,Oven baked black cod on a bed of steamed rice with truffle peanut sauce. (Kcal: 349 C: 42 P: 39 F: 3),AED75,Lunch/Dinner,Mains,349,39,42,3,351,2,0.57%
